Schema,Domain,Domain Description,Field,Array Field,Type,Related,Cardinality,Description
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_id,,String,,,This is the unique identifier for the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",source_member_id,,String,,,This is the unique source identifier for the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_id_use,,String,,,This is the usage for created member id. i.e usual | official | temp | secondary | old (If known).
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_id_system,,String,,,This is the system to be used for member id creation.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_type,,String,,,This is the type of member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_category,,String,,,"This is the member's plan type. (In Facets, this is referred to as Class Name.) Examples include Executive Plan and Standard Plan."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_category_id,,String,,,"This is the identifier for the member's plan type. For instance, a VP of an employer has different insurance products offered compared to a lower-level employee. In Facets, this is referred to as Class ID. In NASCO, this is the Class Code."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_category_prefix,,String,,,This is the prefix to the member category identifier. The format is tpct_pfx. Class Service/Revenue Conversion Prefix.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",source_parent_group_id,,String,,,This is the parent group identifier associated with the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",source_group_id,,String,,,This is the source identifier associated with the group that corresponds to the member's enrollment. This value is the same as the SourceID of the Group nested object.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",source_sub_group_id,,String,,,This is the subgroup identifier associated with the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",plan_id,,String,,,This is the plan identifier associated with the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",carrier_id,,String,,,This is the carrier identifier associated with the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",hospice_ind,,Boolean,,,This indicates whether the member has hospice services.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",institutional_ind,,Boolean,,,This indicates whether the member has institutional services.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",exchange_ind,,Boolean,,,This indicates whether the member has received enrollment through a health insurance exchange (HIX).
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",handicapped_ind,,Boolean,,,This indicates whether the member is handicapped.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",is_in_union_ind,,Boolean,,,This indicates whether the member is part of union or not.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",medicare_start_date,,Date,,,This is the start date for the Member's Medicare coverage.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",cbsa_code,,String,,,"This is the Core-Based Statistical Areas (CBSA) code, which is applicable for the Medicare market segment."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",naics_industry_code,,String,,,This is the industry code associated with the member and their employer.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_level,,String,,,"This is sometimes referred to as the Member Group Type, which help classify whether the member is attached to a group. Some valid values include EMPL and VIP."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",override_carrier_id,,String,,,This is the identifier for the network carrier that owns the network and/or product override.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",sic_code,,String,,,This is the Standard Industrial Classification (SIC) code value associated with the member receiving services and their company.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",coordination_of_benefits_ind,,Boolean,,,"This indicates presence of insurance coverages for the patient that may be applicable for reimbursement, of the products and services listed in the claim. If true, coordination of benefits applies for this claim."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",has_pcp,,Boolean,,,This indicates whether the member has an associated primary care provider (PCP).
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",prescription_coverage_ind,,Boolean,,,This indicates whether the member is entitled to prescription drug coverage.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",mental_health_coverage_ind,,Boolean,,,This indicates whether the member is entitled to mental health coverage.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",dual_eligibility_ind,,Boolean,,,This indicates whether the member has dual eligibility for Medicare and Medicaid.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",end_stage_renal_disease_ind,,Boolean,,,This indicates whether the member has end stage renal disease (ESRD).
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",subscriber_relationship,,String,,,"This is the member's relationship to the subscriber. Examples include self and dependent. If dependent, the type of dependency to the subscriber appears."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",consumer_driven_healthcare_ind,,Boolean,,,This indicates whether the member is associated with consumer-driven healthcare.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",subscriber_id,,String,,,"This identifies the subscriber (policy holder). For some payers, this is the member card ID."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",orig_reason_ent_code,,String,,,The original reason for entitlement code to indicate the initial reason a beneficiary became entitled to benefits particularly in Medicare.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",member_products,,Array,product_info,one-many,"These are the product plans associated with the member recorded at the time of a transaction, such as enrollment."
Person,member,,,reference_id,String,,,This is a unique identifier
Person,member,,,eff_date,Date,,,This is the start date that the plan becomes effective.
Person,member,,,exp_date,Date,,,This is the end or expiration date for the plan.
Person,member,,,network_prefix,String,,,"For insurance organizations, such as BCBS, this is the prefix to the member's ID number that is associated with the plan. Some payers use the Interplan Teleprocessing System prefix."
Person,member,,,group_id,String,,,This is the identifier (typically a number) of the member's employer group.
Person,member,,,plan_id,String,,,This is the code indicating which insurance plan the member has.
Person,member,,,id_card_type,String,,,This the type of membership card that the member has. Examples include medical and dental.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",qualified_events,,Array,qualified_event_info,one-many,These are qualifying life events (QLEs) associated with the member that allowed the member to participate in special enrollment periods.
Person,member,,,reference_id,String,,,This is a unique identifier
Person,member,,,event_type,String,,,"This is the event in a member's life that allows them to participate in a special enrollment period. Examples include: change in family status, change in employment status, and change in coverage."
Person,member,,,event_code,String,,,"This code is associated with the event. Examples include: 1C for change in family status, 1D for change in employment status, and 1Q for change in family member's eligibility."
Person,member,,,transaction_code,String,,,"This is the transaction code for the type of transaction that occurred due to the event. Examples include deletion, accretion, and group accretion."
Person,member,,,transaction_eff_date,String,,,This is the effective date for the specified transaction.
Person,member,,,plan_code,String,,,This is the code associated with the insurance plan for the affected coverage.
Person,member,,,event_pbp,String,,,This is the plan benefit package associated with the event.
Person,member,,,event_state_code,String,,,This is the state in which the event occurred.
Person,member,,,event_county_code,String,,,This is the county in which the event occurred.
Person,member,,,event_eff_date,Date,,,This is the start date of the special enrollment period due the event. This is often the date of the qualifying event.
Person,member,,,event_exp_date,Date,,,"This is the end date of the special enrollment period due the event. This is often 30, 60, or 90 days after the qualifying event."
Person,member,,,transaction_reason,String,,,This is the user-defined reason for creating this transaction record.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",person_code,,String,,,This is the identification code assigned to a specific person within a family (or subscriber) as submitted on the claim. The person code is optionally used in conjunction with the subscriber ID number to uniquely identify family members within the subscriber ID number (last 2 digits of the card ID).
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",status,,String,,,This is the current status of the member.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",active_ind,,Boolean,,,This indicates whether the member's record is in active use.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",name_first_name,,String,,,This is the given name or first name of the person.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",name_middle_name,,String,,,This is the middle name or middle initial of the person.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",name_last_name,,String,,,"This is the surname, family name, or last name of the person."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",name_prefix_name,,String,,,"This is the part that comes before the person's name, usually intended as a title for addressing the person. Examples include Mr., Ms., Mrs., and Dr."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",name_suffix_name,,String,,,"This is the part that comes after the person's name. Examples include Jr., II, and PhD."
