Schema,Domain,Domain Description,Field,Array Field,Type,Related,Cardinality,Description
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id,,String,,,This is the unique identifier for the service provider.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",source_service_provider_id,,String,,,This is the unique source identifier for the service provider.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_system,,String,,,Namespace for identifier.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_use,,String,,,Identifies the use for service provider identifier. Examples are usual | official | temp | secondary | old (If known).
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_type,,String,,,Type of the identifier.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_type_system,,String,,,This is the name of the system providing the identification.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_type_display,,String,,,Display of the service provider identifier type.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_period_start,,Datetime,,,Indicate the start date of the validity period for the service provider's identifier.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_period_end,,Datetime,,,Indicate the end date of the validity period for the service provider's identifier.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_assigner,,String,,,Organization that issued id (may be just text).
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_id_assigner_display,,String,,,The display of provider identifier's assigner.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",name_first_name,,String,,,This is the given name or first name of the person.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",name_middle_name,,String,,,This is the middle name or middle initial of the person.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",name_last_name,,String,,,"This is the surname, family name, or last name of the person."
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",name_prefix_name,,String,,,"This is the part that comes before the person's name, usually intended as a title for addressing the person. Examples include Mr., Ms., Mrs., and Dr."
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",name_suffix_name,,String,,,"This is the part that comes after the person's name. Examples include Jr., II, and PhD."
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_name_use,,String,,,usual | official | temp | nickname | anonymous | old | maiden.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_name_period_start,,Datetime,,,Starting time with inclusive boundary.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",service_provider_name_period_end,,Datetime,,,"End time with inclusive boundary, if not ongoing."
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",alternate_name_name,,String,,,This is the text representation of the person's full name. The intent is to represent the combined name for the person.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_type,,String,,,The type of the address. Examples are  postal | physical | both.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_use,,String,,,The use of the address. Examples are: home | work | temp | old | billing.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_line_1,,String,,,The first address line in an address. Examples are: street number | street name | P.O. Box.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_line_2,,String,,,The second address line in an address. Examples are: suite number | floor number | apartment number.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_line_3,,String,,,The third address line in an address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_address_line_4,,String,,,The fourth address line in an address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_attn_care_of,,String,,,This is the attention care line of the address data.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_po_box,,String,,,The PO Box information in an address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_city,,String,,,The name of the city where the address is located. Values in the field reflect data as received by Abacus.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_county,,String,,,The name of the county where the address is located. Values in the field reflect data as received by Abacus.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_state_province,,String,,,The state or province abbreviation within the country for the address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_postal_code,,String,,,The ZIP code or postal code where the address is located.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_zip_code_extension,,String,,,The four-character extension to the ZIP code or postal code.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_country,,String,,,The name of the country where the address is located. Values in the field reflect data as received by Abacus.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_longitude,,String,,,The geographic longitude of the address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_latitude,,String,,,The geographic latitude of the address.
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_eff_date,,Datetime,,,"This is the date from which the address is effective, for the subject that contains this address."
Provider,service_provider,"This is the subject area version of the ServiceProvider domain. A service provider is a person who is directly or indirectly involved in providing services to patients and members. Examples include physicians, dentists, pharmacists, physician assistants, nurses, scribes, midwives, and dietitians.",address_exp_date,,Datetime,,,"This is the date to which the address is effective, for the subject that contains this address."
